,open,close,high,low,volume,date
0,8559.77,8556.02,8640.89,8419.34,44285.668,2019-10-10
1,8557.0,8255.58,8788.0,8210.0,69157.964,2019-10-11
2,8255.54,8300.22,8397.45,8248.34,37761.514,2019-10-12
3,8300.31,8274.66,8456.0,8137.3,43820.913,2019-10-13
4,8274.33,8346.05,8381.77,8205.02,61999.821,2019-10-14
5,8346.31,8160.01,8408.62,8080.0,86246.749,2019-10-15
6,8160.55,7992.21,8184.0,7900.24,70434.452,2019-10-16
7,7994.76,8069.2,8124.63,7930.0,58354.602,2019-10-17
8,8069.41,7943.94,8117.3,7812.0,75251.352,2019-10-18
9,7945.57,7947.13,8108.54,7852.12,78024.395,2019-10-19
10,7947.78,8218.23,8300.5,7871.17,78663.915,2019-10-20
11,8218.23,8201.74,8334.57,8150.0,59928.516,2019-10-21
12,8201.0,8020.89,8290.0,8000.0,69506.880,2019-10-22
13,8020.68,7465.0,8047.78,7172.76,108484.139,2019-10-23
14,7465.18,7411.35,7495.81,7337.44,66719.534,2019-10-24
15,7410.07,8650.0,8800.0,7359.0,165118.926,2019-10-25
16,8650.0,9232.22,10408.48,8626.89,248161.161,2019-10-26
17,9234.75,9533.32,9803.83,9066.07,163544.019,2019-10-27
18,9534.37,9217.36,9930.13,9156.03,155599.975,2019-10-28
19,9215.78,9415.02,9569.1,9070.0,124703.014,2019-10-29
20,9415.02,9165.3,9418.65,8975.72,98464.858,2019-10-30
21,9163.4,9150.0,9438.64,8933.0,98836.044,2019-10-31
22,9149.88,9231.01,9280.0,9050.27,87256.949,2019-11-01
23,9231.7,9287.8,9375.0,9194.98,56602.055,2019-11-02
24,9288.96,9197.88,9366.69,9073.0,75612.722,2019-11-03
25,9197.86,9395.46,9550.0,9126.01,90433.357,2019-11-04
26,9395.47,9313.2,9457.13,9164.33,113738.226,2019-11-05
27,9313.1,9343.6,9450.0,9259.48,73767.911,2019-11-06
28,9344.29,9219.64,9381.93,9091.2,77389.569,2019-11-07
29,9221.63,8775.03,9259.3,8669.85,151851.160,2019-11-08
30,8775.6,8811.15,8878.0,8727.0,66846.392,2019-11-09
31,8811.3,9041.31,9187.0,8760.0,91099.197,2019-11-10
32,9041.31,8728.93,9072.91,8611.11,113373.762,2019-11-11
33,8729.89,8817.0,8889.06,8552.12,107520.546,2019-11-12
34,8817.94,8774.76,8838.0,8712.0,58585.811,2019-11-13
35,8774.78,8642.25,8798.06,8581.39,87099.995,2019-11-14
36,8642.47,8473.27,8780.0,8380.0,145602.497,2019-11-15
37,8473.3,8491.06,8540.54,8435.0,48657.040,2019-11-16
38,8491.18,8504.04,8631.0,8355.78,72152.266,2019-11-17
39,8504.13,8183.26,8504.71,8050.0,123477.142,2019-11-18
40,8183.3,8131.7,8212.87,8000.0,110854.030,2019-11-19
41,8131.12,8094.05,8230.0,8037.5,87352.380,2019-11-20
42,8094.57,7621.9,8131.51,7432.0,180289.189,2019-11-21
43,7621.89,7262.72,7765.03,6762.73,371213.951,2019-11-22
44,7261.89,7305.99,7345.84,7073.38,139643.311,2019-11-23
45,7306.19,6900.86,7324.92,6855.91,183676.078,2019-11-24
46,6899.77,7102.03,7386.29,6510.19,333987.914,2019-11-25
47,7103.34,7150.0,7340.06,7011.9,193962.094,2019-11-26
48,7149.97,7506.77,7669.2,6850.0,297842.994,2019-11-27
49,7506.78,7415.79,7643.0,7356.0,175000.609,2019-11-28
50,7417.0,7736.66,7850.0,7394.57,185819.186,2019-11-29
51,7737.23,7542.93,7800.0,7444.18,141966.392,2019-11-30
52,7541.08,7387.38,7541.08,7222.29,196291.252,2019-12-01
53,7388.0,7291.0,7416.75,7137.74,143966.953,2019-12-02
54,7291.74,7290.86,7404.42,7231.35,84699.470,2019-12-03
55,7290.85,7191.0,7800.0,7070.0,274879.481,2019-12-04
56,7189.42,7384.99,7480.0,7142.54,176315.108,2019-12-05
