,close,high,low,volume,date,ticker
0,43.94,43.97,43.75,1003200,1993-01-29,SPY
1,44.25,44.25,43.97,480500,1993-02-01,SPY
2,44.34,44.38,44.13,201300,1993-02-02,SPY
3,44.81,44.84,44.38,529400,1993-02-03,SPY
4,45.0,45.09,44.47,531500,1993-02-04,SPY
5,44.97,45.06,44.72,492100,1993-02-05,SPY
6,44.97,45.13,44.91,596100,1993-02-08,SPY
7,44.66,44.81,44.56,122100,1993-02-09,SPY
8,44.72,44.75,44.53,379600,1993-02-10,SPY
9,44.94,45.13,44.78,19500,1993-02-11,SPY
10,44.59,44.88,44.59,42500,1993-02-12,SPY
11,43.47,44.47,43.41,374800,1993-02-16,SPY
12,43.44,43.53,43.28,210900,1993-02-17,SPY
13,43.41,43.94,42.81,378100,1993-02-18,SPY
14,43.56,43.56,43.34,34900,1993-02-19,SPY
15,43.72,43.78,43.56,513600,1993-02-22,SPY
16,43.69,43.88,43.47,373700,1993-02-23,SPY
17,44.25,44.25,43.72,26300,1993-02-24,SPY
18,44.34,44.38,44.13,44500,1993-02-25,SPY
19,44.41,44.44,44.19,66200,1993-02-26,SPY
20,44.28,44.56,44.22,66500,1993-03-01,SPY
21,44.94,44.94,44.25,182400,1993-03-02,SPY
22,45.13,45.16,44.94,280100,1993-03-03,SPY
23,44.88,45.19,44.88,89500,1993-03-04,SPY
24,44.75,45.13,44.72,40000,1993-03-05,SPY
25,45.75,45.75,44.84,50800,1993-03-08,SPY
26,45.59,45.69,45.5,169300,1993-03-09,SPY
27,45.69,45.69,45.41,194400,1993-03-10,SPY
28,45.56,45.84,45.5,70900,1993-03-11,SPY
29,45.09,45.22,44.81,643600,1993-03-12,SPY
30,45.31,45.31,45.06,310800,1993-03-15,SPY
31,45.31,45.44,45.31,30800,1993-03-16,SPY
32,45.03,45.25,44.97,21800,1993-03-17,SPY
33,45.31,45.5,45.22,59300,1993-03-18,SPY
34,45.03,45.28,45.03,66900,1993-03-19,SPY
35,44.78,44.88,44.56,183400,1993-03-22,SPY
36,44.88,44.94,44.81,55200,1993-03-23,SPY
37,44.88,45.06,44.59,37200,1993-03-24,SPY
38,45.16,45.25,44.84,110100,1993-03-25,SPY
39,44.91,45.16,44.88,101500,1993-03-26,SPY
40,45.09,45.31,44.94,87100,1993-03-29,SPY
41,45.22,45.22,45.09,56000,1993-03-30,SPY
42,45.19,45.47,45.19,111600,1993-03-31,SPY
43,45.03,45.25,44.94,129500,1993-04-01,SPY
44,44.09,44.66,44.09,59400,1993-04-02,SPY
45,44.31,44.44,44.19,172200,1993-04-05,SPY
46,44.19,44.41,44.06,129700,1993-04-06,SPY
47,44.34,44.34,44.16,28000,1993-04-07,SPY
48,44.28,44.53,44.09,180800,1993-04-08,SPY
49,44.91,44.94,44.66,348500,1993-04-12,SPY
50,45.0,45.16,44.84,146100,1993-04-13,SPY
51,44.94,45.06,44.91,119600,1993-04-14,SPY
52,44.94,45.03,44.75,148600,1993-04-15,SPY
53,44.94,45.03,44.88,47900,1993-04-16,SPY
54,44.75,45.06,44.72,157000,1993-04-19,SPY
55,44.53,44.75,44.25,279500,1993-04-20,SPY
56,44.5,44.63,44.38,67900,1993-04-21,SPY
57,43.94,44.69,43.94,97700,1993-04-22,SPY
58,43.75,43.97,43.69,106000,1993-04-23,SPY
59,43.41,43.94,43.28,62600,1993-04-26,SPY
60,43.88,43.88,43.34,156800,1993-04-27,SPY
61,43.78,43.91,43.72,85900,1993-04-28,SPY
62,43.97,43.97,43.63,85000,1993-04-29,SPY
63,44.03,44.28,44.03,88500,1993-04-30,SPY
64,44.31,44.31,43.91,80500,1993-05-03,SPY
65,44.47,44.63,44.34,149100,1993-05-04,SPY
66,44.59,44.75,44.47,109000,1993-05-05,SPY
67,44.44,44.56,44.41,54700,1993-05-06,SPY
68,44.34,44.47,44.28,68000,1993-05-07,SPY
69,44.44,44.69,44.41,113900,1993-05-10,SPY
70,44.63,44.63,44.31,42600,1993-05-11,SPY
71,44.56,44.59,44.44,31000,1993-05-12,SPY
72,44.03,44.38,44.0,129100,1993-05-13,SPY
73,44.0,44.16,43.97,63500,1993-05-14,SPY
74,44.16,44.16,43.94,34000,1993-05-17,SPY
75,44.13,44.22,43.97,105200,1993-05-18,SPY
76,45.03,45.03,43.84,50200,1993-05-19,SPY
77,45.16,45.16,44.94,98200,1993-05-20,SPY
78,44.75,45.25,44.72,221400,1993-05-21,SPY
79,44.94,45.09,44.84,30500,1993-05-24,SPY
80,45.03,45.13,45.03,191800,1993-05-25,SPY
81,45.59,45.63,45.13,102400,1993-05-26,SPY
82,45.44,45.66,45.38,53800,1993-05-27,SPY
83,45.22,45.41,45.0,79100,1993-05-28,SPY
84,45.66,45.81,45.31,28300,1993-06-01,SPY
85,45.59,45.75,45.34,20300,1993-06-02,SPY
86,45.44,45.5,45.34,21600,1993-06-03,SPY
87,45.28,45.31,45.09,32000,1993-06-04,SPY
88,45.13,45.38,45.13,121400,1993-06-07,SPY
89,44.72,45.0,44.72,104500,1993-06-08,SPY
90,44.88,45.06,44.81,43300,1993-06-09,SPY
91,44.91,44.94,44.75,17900,1993-06-10,SPY
92,45.09,45.16,44.91,647400,1993-06-11,SPY
93,45.03,45.19,45.03,64200,1993-06-14,SPY
94,44.94,45.13,44.94,142400,1993-06-15,SPY
95,45.03,45.03,44.81,330900,1993-06-16,SPY
96,45.19,45.19,45.03,37400,1993-06-17,SPY
97,44.5,44.84,44.5,58500,1993-06-18,SPY
98,44.59,44.63,44.53,29300,1993-06-21,SPY
99,44.63,44.66,44.56,137500,1993-06-22,SPY
100,44.22,44.63,44.22,227600,1993-06-23,SPY
101,44.81,44.81,44.34,243700,1993-06-24,SPY
102,44.78,44.91,44.75,44800,1993-06-25,SPY
103,45.28,45.28,44.94,439900,1993-06-28,SPY
104,45.06,45.22,45.0,207500,1993-06-29,SPY
105,45.06,45.22,45.0,437600,1993-06-30,SPY
106,44.94,45.13,44.88,605700,1993-07-01,SPY
107,44.69,44.81,44.53,285400,1993-07-02,SPY
108,44.22,44.75,44.16,246400,1993-07-06,SPY
109,44.34,44.41,44.19,343700,1993-07-07,SPY
110,44.84,44.94,44.31,248200,1993-07-08,SPY
111,44.97,44.97,44.75,378200,1993-07-09,SPY
112,44.94,44.97,44.84,373700,1993-07-12,SPY
113,44.91,45.09,44.66,389600,1993-07-13,SPY
114,45.06,45.19,44.91,617300,1993-07-14,SPY
115,44.88,45.03,44.78,443800,1993-07-15,SPY
116,44.75,44.94,44.69,216400,1993-07-16,SPY
117,44.72,44.75,44.59,188200,1993-07-19,SPY
118,44.84,44.84,44.47,68500,1993-07-20,SPY
119,44.81,44.81,44.66,142700,1993-07-21,SPY
120,44.5,44.81,44.5,632400,1993-07-22,SPY
121,44.72,44.72,44.56,286200,1993-07-23,SPY
